අං	a ŋ
අක්කත්	a k k a t
අක්කයි	a k k a y
අක්කර	a k k ə r ə
අක්කල	a k k ə l a
අක්කලා	a k k ə l a
අක්කා	a k k a
අක්කාගේ	a k k aː g eː
අක්කාට	a k k aː ʈ ə
අක්කි	a k k i
අක්කෙ	a k k e
අක්කේ	a k k e
අක්මාවට	a k m aː w ə ʈ ə
අක්ශර	a k ʃ ə r ə
අක්ශේ	a k ʃ eː
අක්ෂර	a k ʃ ə r ə
අක්ෂරයෙන්	a k ʃ ə r ə y e n
අක්ෂේ	a k ʃ eː
අකාරය	a k aː r ə y ə
අකාරයෙන්ම	a k aː r ə y e n m ə
අකාර්යක්ෂම	a k aː r y a k ʃ ə m ə
අකාර්යක්ෂමතාව	a k aː r y a k ʃ ə m ə t aː w ə
අකාරුණික	a k aː r u n i k ə
අකාලයේ	a k aː l ə y e
අකාලික	a k aː l i k ə
අකැප	a k æ p ə
අකැපද	a k æ p ə d ə
අකැපයි	a k æ p a y
අකැමැත්ත	a k ə m æ t t ə
අකැමැත්තෙන්	a k æ m æ t t e n
අකැමැති	a k ə m æ t i
අකිල	a k i l ə
අකිලගේ	a k i l ə g e
අකීකරු	a k iː k ə r u
අකුණු	a k u n u
අකුර	a k u r ə
අකුරක්	a k u r a k
අකුරට	a k u r ə ʈ ə
අකුරටම	a k u r ə ʈ ə m ə
අකුරැස්ස	a k u r æ s s ə
අකුරින්	a k u r i n
අකුරු	a k u r u
අකුරෙන්	a k u r e n
අකුල්	a k u l
අකුසල	a k u s ə l ə
අකුසලය	a k u s ə l ə y ə
අකුසලයක්	a k u s ə l ə y a k
අකුසලයකි	a k u s ə l ə y ə k i
අකුසල්	a k u s a l
අකුශල	a k u ʃ ə l ə
අකෘතඥ	a k r u t a k ɲ ə
අඛණ්ඩ	a k a n ɖ ə
අඛණ්ඩව	a k a n ɖ ə w ə
අඛන්ඩව	a k a n ɖ ə w ə
අඛිල	a k i l ə
අග	a g ə
අගක්	a g a k
අගට	a g ə ʈ ə
අගටම	a g ə ʈ ə m ə
අගතා	a g ə t aː
අගතැන්පත්	a g ə t æ n p a t
අගතිගාමී	a g ə t i g aː m iː
අගතියට	a g ə t i y ə ʈ ə
අගදී	a g ə d iː
අගනගරය	a g ə n a g ə r ə y ə
අගනා	a g ə n aː
අගනුවර	a g ə n u w ə r ə
අගනුවරට	a g ə n u w ə r ə ʈ ə
අගනේය	a g ə n eː y ə
අගභාගයේදී	a g ə b aː g ə y eː d i
අගම	a g ə m ə
අගම්	a g a m
අගමැති	a g ə m æ t i
අගමැතිකම	a g ə m æ t i k a m ə
අගමැතිගේ	a g ə m æ t i g eː
අගමැතිට	a g ə m æ t i ʈ ə
අගමැතිතුමා	a g ə m æ t i t u m a
අගමැතිනිය	a g ə m æ t i n i y ə
අගමැතියි	a g ə m æ t i y i
අගමැතිව	a g ə m æ t i w ə
අගමැතිවරයා	a g ə m æ t i w ə r ə y a
අගමැතිවරයාගේ	a g ə m æ t i w ə r ə y aː g eː
අගමැතිවරයාට	a g ə m æ t i w ə r ə y aː ʈ ə
අගමැතිවරයෙක්	a g ə m æ t i w ə r ə y e k
අගමෑති	a g ə m æː t i
අගය	a g ə y ə
අගයක	a g ə y ə k ə
අගයකට	a g ə y ə k ə ʈ ə
අගයක්	a g ə y a k
අගයන	a g ə y ə n ə
අගයනවා	a g ə y ə n ə w a
අගයන්	a g ə y a n
අගයන්න	a g ə y a n n ə
අගයමි	a g ə y ə m i
අගරදගුරු	a g ə r a d ə g u r u
අගලකඩ	a g ə l ə k ə ɖ ə
අගලවත්තේ	a g ə l ə w a t t eː
අගල්	a g a l
අගවිනිසුරු	a g ə w i n i s u r u
අගසව්	a g ə s a w
අගහිඟකම්	a g ə h i ᵑg ə k a m
අග්ගඤ්ඤ	a g g a ɲ ɲ ə
අග්ගලා	a g g ə l aː
අග්නි	a g n i
අග්නිදිග	a g n i d i g ə
අග්ර	a g r ə
අග්රබෝධි	a g g r ə b oː d i
අග්රාමාත්යවරයා	a g r aː m aː t y ə w ə r ə y a
අග්රාමාත්යවරයාගේ	a g r aː m aː t t y ə w ə r ə y aː g eː
අග්රාමාත්යවරයෙකුවූ	a g g r aː m aː t t y ə w ə r ə y e k u uː
අග්රාමාත්යවරයෙකුවූ	a g g r aː m aː t t y ə w ə r ə y e k u w uː
අග්‍ර	a g r ə
අග්‍රබෝධි	a g g r ə b oː d i
අග්‍රාමාත්‍යවරයා	a g g r aː m aː t t y ə w ə r ə y a
අග්‍රාමාත්‍යවරයා	a g r aː m aː t y ə w ə r ə y a
අග්‍රාමාත්‍යවරයාගේ	a g g r aː m aː t t y ə w ə r ə y aː g eː
අග්‍රාමාත්‍යවරයෙකුවූ	a g g r aː m aː t t y ə w ə r ə y e k u uː
අග්‍රාමාත්‍යවරයෙකුවූ	a g g r aː m aː t t y ə w ə r ə y e k u w uː
අගාධය	a g aː d ə y ə
අගාධයට	a g aː d ə y ə ʈ ə
අගින්	a g i n
අගුණ	a g u n ə
අගුරු	a g u r u
අගුළු	a g u l u
අගෙයි	a g e y
අගේ	a g eː
අගේට	a g eː ʈ ə
අගෝස්තු	a g oː s t u
අගෞරව	a g a w r ə w ə
අගෞරවය	a g a w r ə w ə y ə
අගෞරවයක්	a g a w r ə w ə y a k
අඟ	a ᵑg ə
අඟපසඟ	a ᵑg ə p a s ə ᵑg ə
අඟර	a ᵑg ə r ə
අඟලක්	a ᵑg ə l a k
අඟල්	a ᵑg a l
අඟවන	a ᵑg ə w ə n ə
අඟවනවා	a ᵑg ə w ə n ə w a
අඟවන්න	a ᵑg ə w a n n ə
අඟවයි	a ᵑg ə w a y
අඟවා	a ᵑg ə w aː
අඟහරු	a ᵑg ə h a r u
අඟහරුගේ	a ᵑg ə h a r u g e
අඟහරුට	a ᵑg ə h a r u ʈ ə
අඟහරුමත	a ᵑg ə h a r u m a t ə
අඟහරුවාදා	a ᵑg ə h a r u w aː d aː
අඟහරුවාදාය	a ᵑg ə h a r u w aː d aː y ə
අඟුරු	a ᵑg u r u
අඟුරුවලින්	a ᵑg u r u w ə l i n
අඟුරුවාතොට	a ᵑg u r u w aː t o ʈ ə
අඟුල්	a ᵑg u l
අඟුලාන	a ᵑg u l aː n ə
අචල	a c ə l ə
අච්චර	a c c ə r ə
අච්චාරු	a c c aː r u
අච්චාරුවක්	a c c aː r u w a k
අච්චු	a c c u
අච්චුවේලී	a c c u w eː l i
අචින්ත	a c i n t ə
අචින්ත්යයි	a c i n t y a y
අචින්ත්‍යයි	a c i n t y a y
අචිරවතී	a c i r ə w ə t iː
අචෛතසික	a c a y t ə s i k ə
අජන්ත	a ɟ a n t ə
අජන්තා	a ɟ a n t aː
අජන්තාට	a ɟ a n t aː ʈ ə
අජ්ඣත්ත	a ɟ ɟ a t t ə
අජාසත්	a ɟ aː s a t
අජාසත්ත	a ɟ aː s a t t ə
අජිත්	a ɟ i t
අජීර්ණ	a ɟ iː r n ə
අජීවී	a ɟ iː w iː
අඤ්ඤෝ	a ɲ ɲ oː
අඥාන	a k ɲ aː n ə
අට	a ʈ ə
අටක	a ʈ ə k ə
අටකට	a ʈ ə k ə ʈ ə
අටක්	a ʈ a k
අටකි	a ʈ ə k i
අටකින්	a ʈ ə k i n
අටට	a ʈ ə ʈ ə
අටමස්ථාන	a ʈ ə m a s t aː n ə
අටයි	a ʈ a y
අටලෝ	a ʈ ə l oː
අටවක	a ʈ ə w ə k ə
අටවන	a ʈ ə w ə n ə
අටවපු	a ʈ ə w ə p u
අටවා	a ʈ ə w aː
අටවැන්න	a ʈ ə w æ n n ə
අටවැන්නට	a ʈ ə w æ n n ə ʈ ə
අටවැන්නාධිපති	a ʈ ə w æ n n aː d i p a t i
අටවැන්නේ	a ʈ ə w æ n n e
අටවැනි	a ʈ ə w æ n i
අටවිසි	a ʈ ə w i s i
අටවිසියක්	a ʈ ə w i s i y a k
අටවෙනි	a ʈ ə w e n i
අටසිල්	a ʈ ə s i l
අටසිය	a ʈ ə s i y ə
අටුවා	a ʈ u w aː
අටුවාව	a ʈ u w aː w ə
අටුවාවෙන්	a ʈ u w aː w e n
අටේ	a ʈ eː
අඩ	a ɖ ə
අඩංගු	a ɖ a ŋ g u
අඩංගුය	a ɖ a ŋ g u y ə
අඩංගුයි	a ɖ a ŋ g u i
අඩංගුව	a ɖ a ŋ g u w ə
අඩංගුවට	a ɖ a ŋ g u w ə ʈ ə
අඩකට	a ɖ ə k ə ʈ ə
අඩක්	a ɖ a k
අඩක්ම	a ɖ a k m ə
අඩන	a ɖ ə n ə
අඩන්ගු	a ɖ a n g u
අඩන්ගුවට	a ɖ a ŋ g u w ə ʈ ə
අඩපණ	a ɖ ə p a n ə
අඩවි	a ɖ ə w i
අඩවිද	a ɖ ə w i d ə
අඩවිය	a ɖ ə w i y ə
අඩවියක	a ɖ ə w i y ə k ə
අඩවියක්	a ɖ ə w i y a k
අඩවියකින්	a ɖ ə w i y ə k i n
අඩවියට	a ɖ ə w i y ə ʈ ə
අඩවියටත්	a ɖ ə w i y ə ʈ a t
අඩවියත්	a ɖ ə w i y a t
අඩවියෙ	a ɖ ə w i y e
අඩවියෙන්	a ɖ ə w i y e n
අඩවියේ	a ɖ ə w i y e
